<INFO> 22-Jan-2020::15:44:29.177 bf060 confd[36529]: - Enabling error log
<INFO> 22-Jan-2020::15:44:29.183 bf060 confd[36529]: - Writing error log to /opt/sonus/sbx/tailf/var/confd/log/confderr.log
<INFO> 22-Jan-2020::15:44:29.198 bf060 confd[36529]: - Writing daemon log to /opt/sonus/sbx/tailf/var/confd/log/confd.log
<INFO> 22-Jan-2020::15:44:29.198 bf060 confd[36529]: - Writing NETCONF log to /opt/sonus/sbx/tailf/var/confd/log/netconf.log
<INFO> 22-Jan-2020::15:44:29.198 bf060 confd[36529]: - Writing SNMP log to /opt/sonus/sbx/tailf/var/confd/log/snmp.log
<INFO> 22-Jan-2020::15:44:29.198 bf060 confd[36529]: - Writing audit log to /opt/sonus/sbx/tailf/var/confd/log/audit.log
<INFO> 22-Jan-2020::15:44:29.198 bf060 confd[36529]: - Writing developer log to /opt/sonus/sbx/tailf/var/confd/log/devel.log
<INFO> 22-Jan-2020::15:44:29.198 bf060 confd[36529]: - Daemon logging started
<DEBUG> 22-Jan-2020::15:44:29.335 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/iana-crypt-hash.fxs
<DEBUG> 22-Jan-2020::15:44:29.336 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/SNMP-MPD-MIB.fxs
<DEBUG> 22-Jan-2020::15:44:29.336 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/SNMP-FRAMEWORK-MIB.fxs
<DEBUG> 22-Jan-2020::15:44:29.337 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/sonusCacDataTypes.fxs
<DEBUG> 22-Jan-2020::15:44:29.338 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/sonusHornetTc.fxs
<DEBUG> 22-Jan-2020::15:44:29.339 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/SNMPv2-TC.fxs
<DEBUG> 22-Jan-2020::15:44:29.339 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/PerfHist-TC-MIB.fxs
<DEBUG> 22-Jan-2020::15:44:29.340 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/sonusOrcaTc.fxs
<DEBUG> 22-Jan-2020::15:44:29.342 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/ietf-netconf-acm.fxs
<DEBUG> 22-Jan-2020::15:44:29.343 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/sonusTc.fxs
<DEBUG> 22-Jan-2020::15:44:29.344 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/sonusLicense.fxs
<DEBUG> 22-Jan-2020::15:44:29.345 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/sonusTrap.fxs
<DEBUG> 22-Jan-2020::15:44:29.346 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/sonusQSbcCdr.fxs
<DEBUG> 22-Jan-2020::15:44:29.346 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/sonusEma.fxs
<DEBUG> 22-Jan-2020::15:44:29.347 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/sonusCdrServer.fxs
<DEBUG> 22-Jan-2020::15:44:29.349 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/sonusAccounting.fxs
<DEBUG> 22-Jan-2020::15:44:29.350 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/sonusAaa.fxs
<DEBUG> 22-Jan-2020::15:44:29.353 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/sonusMetaVar.fxs
<DEBUG> 22-Jan-2020::15:44:29.353 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/sonusHaPort.fxs
<DEBUG> 22-Jan-2020::15:44:29.355 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/sonusDspUsagePerformanceStats.fxs
<DEBUG> 22-Jan-2020::15:44:29.361 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/tailf-aaa.fxs
<DEBUG> 22-Jan-2020::15:44:29.362 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/SNMPv2-MIB.fxs
<DEBUG> 22-Jan-2020::15:44:29.363 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/SNMP-VIEW-BASED-ACM-MIB.fxs
<DEBUG> 22-Jan-2020::15:44:29.364 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/SNMP-USER-BASED-SM-MIB.fxs
<DEBUG> 22-Jan-2020::15:44:29.365 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/common/SNMP-TARGET-MIB.fxs
<DEBUG> 22-Jan-2020::15:44:29.367 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/sonusNodeList.fxs
<DEBUG> 22-Jan-2020::15:44:29.367 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/sonusPort.fxs
<DEBUG> 22-Jan-2020::15:44:29.371 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/sonusMetadata.fxs
<DEBUG> 22-Jan-2020::15:44:29.373 bf060 confd[36529]: - Loading file /opt/sonus/sbx/fxs/sonusGen2Security.fxs
